[17:31:36.435780877] Interval 15 -> Attempted: 27, Successful: 0
[17:31:44.628466754] Interval 15 -> Attempted: 27, Successful: 0
[17:31:44.628490905] Interval 30 -> Attempted: 4, Successful: 0
[17:31:44.628504012] Interval 60 -> Attempted: 1, Successful: 0
[17:31:44.628507695] Interval 150 -> Attempted: 0, Successful: 0
[17:31:44.831067793] Interval 15 -> Attempted: 27, Successful: 0
[17:31:44.831094169] Interval 30 -> Attempted: 4, Successful: 0
[17:31:44.831105010] Interval 60 -> Attempted: 1, Successful: 0
[17:31:44.831108463] Interval 150 -> Attempted: 0, Successful: 0
[17:31:44.992606863] Interval 15 -> Attempted: 27, Successful: 0
[17:31:44.992629478] Interval 30 -> Attempted: 4, Successful: 0
[17:31:44.992637736] Interval 60 -> Attempted: 1, Successful: 0
[17:31:44.992642477] Interval 150 -> Attempted: 0, Successful: 0
[17:31:45.157993174] Interval 15 -> Attempted: 27, Successful: 0
[17:31:45.158018422] Interval 30 -> Attempted: 4, Successful: 0
[17:31:45.158026391] Interval 60 -> Attempted: 1, Successful: 0
[17:31:45.158031265] Interval 150 -> Attempted: 0, Successful: 0
[17:31:45.370571843] Interval 15 -> Attempted: 27, Successful: 0
[17:31:45.370597074] Interval 30 -> Attempted: 4, Successful: 0
[17:31:45.370605488] Interval 60 -> Attempted: 1, Successful: 0
[17:31:45.370610755] Interval 150 -> Attempted: 0, Successful: 0
[17:31:45.570177016] Interval 15 -> Attempted: 27, Successful: 0
[17:31:45.570205138] Interval 30 -> Attempted: 4, Successful: 0
[17:31:45.570213313] Interval 60 -> Attempted: 1, Successful: 0
[17:31:45.570233943] Interval 150 -> Attempted: 0, Successful: 0
[17:31:46.023354784] Interval 15 -> Attempted: 27, Successful: 7
[17:31:46.023379180] Interval 30 -> Attempted: 4, Successful: 0
[17:31:46.023384833] Interval 60 -> Attempted: 1, Successful: 0
[17:31:46.023388239] Interval 150 -> Attempted: 0, Successful: 0
[17:31:46.520978744] Interval 15 -> Attempted: 27, Successful: 6
[17:31:46.520997157] Interval 30 -> Attempted: 4, Successful: 0
[17:31:46.521003311] Interval 60 -> Attempted: 1, Successful: 0
[17:31:46.521006978] Interval 150 -> Attempted: 0, Successful: 0
[17:31:47.019955473] Interval 15 -> Attempted: 27, Successful: 6
[17:31:47.019974201] Interval 30 -> Attempted: 4, Successful: 0
[17:31:47.019979837] Interval 60 -> Attempted: 1, Successful: 0
[17:31:47.019983156] Interval 150 -> Attempted: 0, Successful: 0
[17:31:47.518207934] Interval 15 -> Attempted: 27, Successful: 0
[17:31:47.518227576] Interval 30 -> Attempted: 4, Successful: 0
[17:31:47.518237016] Interval 60 -> Attempted: 1, Successful: 0
[17:31:47.518247682] Interval 150 -> Attempted: 0, Successful: 0
[17:31:48.018282530] Interval 15 -> Attempted: 27, Successful: 0
[17:31:48.018302118] Interval 30 -> Attempted: 4, Successful: 0
[17:31:48.018312961] Interval 60 -> Attempted: 1, Successful: 0
[17:31:48.018316428] Interval 150 -> Attempted: 0, Successful: 0
[17:31:48.518217351] Interval 15 -> Attempted: 27, Successful: 0
[17:31:48.518244992] Interval 30 -> Attempted: 4, Successful: 0
[17:31:48.519281951] Interval 60 -> Attempted: 1, Successful: 1
[17:31:48.519294978] Interval 150 -> Attempted: 0, Successful: 0
[17:31:49.018408088] Interval 15 -> Attempted: 27, Successful: 0
[17:31:49.018438014] Interval 30 -> Attempted: 4, Successful: 0
[17:31:49.019541874] Interval 60 -> Attempted: 1, Successful: 1
[17:31:49.019556973] Interval 150 -> Attempted: 0, Successful: 0
[17:31:49.518137917] Interval 15 -> Attempted: 27, Successful: 0
[17:31:49.518161642] Interval 30 -> Attempted: 4, Successful: 0
[17:31:49.518169195] Interval 60 -> Attempted: 1, Successful: 0
[17:31:49.518172319] Interval 150 -> Attempted: 0, Successful: 0
[17:31:50.018287230] Interval 15 -> Attempted: 27, Successful: 0
[17:31:50.018309001] Interval 30 -> Attempted: 4, Successful: 0
[17:31:50.019383170] Interval 60 -> Attempted: 1, Successful: 1
[17:31:50.019397600] Interval 150 -> Attempted: 0, Successful: 0
[17:31:50.532860068] Interval 15 -> Attempted: 37, Successful: 13
[17:31:50.532891069] Interval 30 -> Attempted: 4, Successful: 0
[17:31:50.532898987] Interval 60 -> Attempted: 1, Successful: 0
[17:31:50.532903586] Interval 150 -> Attempted: 0, Successful: 0
[17:31:51.018236503] Interval 15 -> Attempted: 27, Successful: 0
[17:31:51.018260256] Interval 30 -> Attempted: 4, Successful: 0
[17:31:51.018268267] Interval 60 -> Attempted: 1, Successful: 0
[17:31:51.018273010] Interval 150 -> Attempted: 0, Successful: 0
[17:31:51.518975599] Interval 15 -> Attempted: 27, Successful: 1
[17:31:51.518999463] Interval 30 -> Attempted: 4, Successful: 0
[17:31:51.519008582] Interval 60 -> Attempted: 1, Successful: 0
[17:31:51.519017292] Interval 150 -> Attempted: 0, Successful: 0
[17:31:52.025127104] Interval 15 -> Attempted: 27, Successful: 21
[17:31:52.027129015] Interval 30 -> Attempted: 4, Successful: 3
[17:31:52.027148177] Interval 60 -> Attempted: 1, Successful: 0
[17:31:52.027152767] Interval 150 -> Attempted: 0, Successful: 0
[17:31:52.525154314] Interval 15 -> Attempted: 27, Successful: 16
[17:31:52.525179091] Interval 30 -> Attempted: 4, Successful: 0
[17:31:52.525187369] Interval 60 -> Attempted: 1, Successful: 0
[17:31:52.525192103] Interval 150 -> Attempted: 0, Successful: 0
[17:31:53.018238244] Interval 15 -> Attempted: 27, Successful: 0
[17:31:53.018256281] Interval 30 -> Attempted: 4, Successful: 0
[17:31:53.018260490] Interval 60 -> Attempted: 0, Successful: 0
[17:31:53.018263196] Interval 150 -> Attempted: 0, Successful: 0
[17:31:53.518253983] Interval 15 -> Attempted: 27, Successful: 0
[17:31:53.518285442] Interval 30 -> Attempted: 4, Successful: 0
[17:31:53.518294745] Interval 60 -> Attempted: 0, Successful: 0
[17:31:53.518301784] Interval 150 -> Attempted: 0, Successful: 0
[17:31:54.018349620] Interval 15 -> Attempted: 27, Successful: 0
[17:31:54.018369891] Interval 30 -> Attempted: 4, Successful: 0
[17:31:54.018373945] Interval 60 -> Attempted: 0, Successful: 0
[17:31:54.018376998] Interval 150 -> Attempted: 0, Successful: 0
[17:31:54.518158636] Interval 15 -> Attempted: 27, Successful: 0
[17:31:54.518184383] Interval 30 -> Attempted: 4, Successful: 0
[17:31:54.518192561] Interval 60 -> Attempted: 0, Successful: 0
[17:31:54.518199612] Interval 150 -> Attempted: 0, Successful: 0
[17:31:55.018286084] Interval 15 -> Attempted: 27, Successful: 0
[17:31:55.018310613] Interval 30 -> Attempted: 4, Successful: 0
[17:31:55.018318587] Interval 60 -> Attempted: 0, Successful: 0
[17:31:55.018325497] Interval 150 -> Attempted: 0, Successful: 0
[17:31:55.518259194] Interval 15 -> Attempted: 27, Successful: 0
[17:31:55.518281463] Interval 30 -> Attempted: 4, Successful: 0
[17:31:55.518286186] Interval 60 -> Attempted: 0, Successful: 0
[17:31:55.518289140] Interval 150 -> Attempted: 0, Successful: 0
[17:31:56.018253654] Interval 15 -> Attempted: 27, Successful: 0
[17:31:56.018272063] Interval 30 -> Attempted: 4, Successful: 0
[17:31:56.018276514] Interval 60 -> Attempted: 0, Successful: 0
[17:31:56.018279563] Interval 150 -> Attempted: 0, Successful: 0
[17:31:56.521857302] Interval 15 -> Attempted: 27, Successful: 11
[17:31:56.521878103] Interval 30 -> Attempted: 4, Successful: 0
[17:31:56.521883449] Interval 60 -> Attempted: 0, Successful: 0
[17:31:56.521886456] Interval 150 -> Attempted: 0, Successful: 0
[17:31:57.018760440] Interval 15 -> Attempted: 27, Successful: 2
[17:31:57.018781895] Interval 30 -> Attempted: 4, Successful: 0
[17:31:57.018786603] Interval 60 -> Attempted: 0, Successful: 0
[17:31:57.018789609] Interval 150 -> Attempted: 0, Successful: 0
[17:31:57.518220380] Interval 15 -> Attempted: 27, Successful: 0
[17:31:57.519182088] Interval 30 -> Attempted: 4, Successful: 3
[17:31:57.519194660] Interval 60 -> Attempted: 0, Successful: 0
[17:31:57.519198773] Interval 150 -> Attempted: 0, Successful: 0
[17:31:58.018238159] Interval 15 -> Attempted: 27, Successful: 0
[17:31:58.018948495] Interval 30 -> Attempted: 4, Successful: 3
[17:31:58.018959154] Interval 60 -> Attempted: 0, Successful: 0
[17:31:58.018963030] Interval 150 -> Attempted: 0, Successful: 0
[17:31:58.518219198] Interval 15 -> Attempted: 27, Successful: 0
[17:31:58.518254424] Interval 30 -> Attempted: 4, Successful: 0
[17:31:58.518259326] Interval 60 -> Attempted: 0, Successful: 0
[17:31:58.518262519] Interval 150 -> Attempted: 0, Successful: 0
[17:31:59.018319960] Interval 15 -> Attempted: 27, Successful: 0
[17:31:59.018352122] Interval 30 -> Attempted: 4, Successful: 0
[17:31:59.018357055] Interval 60 -> Attempted: 0, Successful: 0
[17:31:59.018359901] Interval 150 -> Attempted: 0, Successful: 0
[17:31:59.518229165] Interval 15 -> Attempted: 27, Successful: 0
[17:31:59.518264532] Interval 30 -> Attempted: 4, Successful: 0
[17:31:59.518269333] Interval 60 -> Attempted: 0, Successful: 0
[17:31:59.518272221] Interval 150 -> Attempted: 0, Successful: 0
[17:32:00.018236384] Interval 15 -> Attempted: 27, Successful: 0
[17:32:00.018671427] Interval 30 -> Attempted: 4, Successful: 1
[17:32:00.018682243] Interval 60 -> Attempted: 0, Successful: 0
[17:32:00.018685969] Interval 150 -> Attempted: 0, Successful: 0
[17:32:00.518152156] Interval 15 -> Attempted: 27, Successful: 0
[17:32:00.518553811] Interval 30 -> Attempted: 4, Successful: 1
[17:32:00.518565768] Interval 60 -> Attempted: 0, Successful: 0
[17:32:00.518570557] Interval 150 -> Attempted: 0, Successful: 0
[17:32:01.022396176] Interval 15 -> Attempted: 27, Successful: 7
[17:32:01.022415278] Interval 30 -> Attempted: 4, Successful: 0
[17:32:01.022420234] Interval 60 -> Attempted: 0, Successful: 0
[17:32:01.022423161] Interval 150 -> Attempted: 0, Successful: 0
[17:32:01.519757220] Interval 15 -> Attempted: 27, Successful: 6
[17:32:01.519776478] Interval 30 -> Attempted: 4, Successful: 0
[17:32:01.519781501] Interval 60 -> Attempted: 0, Successful: 0
[17:32:01.519784475] Interval 150 -> Attempted: 0, Successful: 0
[17:32:02.019449476] Interval 15 -> Attempted: 27, Successful: 6
[17:32:02.019466660] Interval 30 -> Attempted: 4, Successful: 0
[17:32:02.019471418] Interval 60 -> Attempted: 0, Successful: 0
[17:32:02.019481740] Interval 150 -> Attempted: 0, Successful: 0
[17:32:02.518158851] Interval 15 -> Attempted: 27, Successful: 0
[17:32:02.518180701] Interval 30 -> Attempted: 4, Successful: 0
[17:32:02.518192354] Interval 60 -> Attempted: 0, Successful: 0
[17:32:02.518268470] Interval 150 -> Attempted: 0, Successful: 0
[17:32:03.018343939] Interval 15 -> Attempted: 27, Successful: 0
[17:32:03.018362957] Interval 30 -> Attempted: 4, Successful: 0
[17:32:03.018366979] Interval 60 -> Attempted: 0, Successful: 0
[17:32:03.018369554] Interval 150 -> Attempted: 0, Successful: 0
[17:32:03.518144714] Interval 15 -> Attempted: 27, Successful: 0
[17:32:03.518165839] Interval 30 -> Attempted: 4, Successful: 0
[17:32:03.518170335] Interval 60 -> Attempted: 0, Successful: 0
[17:32:03.518173309] Interval 150 -> Attempted: 0, Successful: 0
[17:32:04.018291827] Interval 15 -> Attempted: 27, Successful: 0
[17:32:04.018328078] Interval 30 -> Attempted: 4, Successful: 0
[17:32:04.018336524] Interval 60 -> Attempted: 0, Successful: 0
[17:32:04.018343667] Interval 150 -> Attempted: 0, Successful: 0
[17:32:04.518230691] Interval 15 -> Attempted: 27, Successful: 0
[17:32:04.518848186] Interval 30 -> Attempted: 4, Successful: 2
[17:32:04.518858036] Interval 60 -> Attempted: 0, Successful: 0
[17:32:04.518861730] Interval 150 -> Attempted: 0, Successful: 0
[17:32:05.018250229] Interval 15 -> Attempted: 27, Successful: 0
[17:32:05.018276667] Interval 30 -> Attempted: 4, Successful: 0
[17:32:05.018281702] Interval 60 -> Attempted: 0, Successful: 0
[17:32:05.018284610] Interval 150 -> Attempted: 0, Successful: 0
[17:32:05.718203914] Interval 15 -> Attempted: 37, Successful: 13
[17:32:05.725361696] Interval 30 -> Attempted: 31, Successful: 7
[17:32:05.725388163] Interval 60 -> Attempted: 0, Successful: 0
[17:32:05.725399248] Interval 150 -> Attempted: 0, Successful: 0
[17:32:06.896025881] Interval 15 -> Attempted: 27, Successful: 0
[17:32:06.896053257] Interval 30 -> Attempted: 4, Successful: 0
[17:32:06.896061107] Interval 60 -> Attempted: 0, Successful: 0
[17:32:06.896066520] Interval 150 -> Attempted: 0, Successful: 0
[17:32:07.164487866] Interval 15 -> Attempted: 27, Successful: 1
[17:32:07.164513333] Interval 30 -> Attempted: 4, Successful: 0
[17:32:07.164521416] Interval 60 -> Attempted: 0, Successful: 0
[17:32:07.164526319] Interval 150 -> Attempted: 0, Successful: 0
[17:32:07.445944955] Interval 15 -> Attempted: 27, Successful: 21
[17:32:07.445969189] Interval 30 -> Attempted: 4, Successful: 0
[17:32:07.445974724] Interval 60 -> Attempted: 0, Successful: 0
[17:32:07.445977906] Interval 150 -> Attempted: 0, Successful: 0
[17:32:07.649586340] Interval 15 -> Attempted: 27, Successful: 16
[17:32:07.649614691] Interval 30 -> Attempted: 4, Successful: 0
[17:32:07.649620005] Interval 60 -> Attempted: 0, Successful: 0
[17:32:07.649624446] Interval 150 -> Attempted: 0, Successful: 0
[17:32:08.020132369] Interval 15 -> Attempted: 27, Successful: 0
[17:32:08.020159162] Interval 30 -> Attempted: 4, Successful: 0
[17:32:08.020163950] Interval 60 -> Attempted: 0, Successful: 0
[17:32:08.020166982] Interval 150 -> Attempted: 0, Successful: 0
[17:32:08.519334736] Interval 15 -> Attempted: 27, Successful: 0
[17:32:08.519355640] Interval 30 -> Attempted: 4, Successful: 0
[17:32:08.519360214] Interval 60 -> Attempted: 0, Successful: 0
[17:32:08.519362952] Interval 150 -> Attempted: 0, Successful: 0
[17:32:09.019843597] Interval 15 -> Attempted: 27, Successful: 0
[17:32:09.019870364] Interval 30 -> Attempted: 4, Successful: 0
[17:32:09.019878331] Interval 60 -> Attempted: 0, Successful: 0
[17:32:09.019883854] Interval 150 -> Attempted: 0, Successful: 0
[17:32:09.520263154] Interval 15 -> Attempted: 27, Successful: 0
[17:32:09.520288033] Interval 30 -> Attempted: 4, Successful: 0
[17:32:09.520294422] Interval 60 -> Attempted: 0, Successful: 0
[17:32:09.520299039] Interval 150 -> Attempted: 0, Successful: 0
[17:32:10.020325404] Interval 15 -> Attempted: 27, Successful: 0
[17:32:10.020345549] Interval 30 -> Attempted: 4, Successful: 0
[17:32:10.020349682] Interval 60 -> Attempted: 0, Successful: 0
[17:32:10.020550123] Interval 150 -> Attempted: 0, Successful: 0
[17:32:10.519516180] Interval 15 -> Attempted: 27, Successful: 0
[17:32:10.519540394] Interval 30 -> Attempted: 4, Successful: 0
[17:32:10.519546762] Interval 60 -> Attempted: 0, Successful: 0
[17:32:10.519549818] Interval 150 -> Attempted: 0, Successful: 0
[17:32:11.019625606] Interval 15 -> Attempted: 27, Successful: 0
[17:32:11.019643329] Interval 30 -> Attempted: 4, Successful: 0
[17:32:11.019647825] Interval 60 -> Attempted: 0, Successful: 0
[17:32:11.019650964] Interval 150 -> Attempted: 0, Successful: 0
[17:32:11.522804466] Interval 15 -> Attempted: 27, Successful: 11
[17:32:11.522823075] Interval 30 -> Attempted: 4, Successful: 0
[17:32:11.522827775] Interval 60 -> Attempted: 0, Successful: 0
[17:32:11.522830803] Interval 150 -> Attempted: 0, Successful: 0
[17:32:12.020000469] Interval 15 -> Attempted: 27, Successful: 1
[17:32:12.020016466] Interval 30 -> Attempted: 4, Successful: 0
[17:32:12.020020979] Interval 60 -> Attempted: 0, Successful: 0
[17:32:12.020023638] Interval 150 -> Attempted: 0, Successful: 0
[17:32:12.519564526] Interval 15 -> Attempted: 27, Successful: 0
[17:32:12.519591536] Interval 30 -> Attempted: 4, Successful: 0
[17:32:12.519596152] Interval 60 -> Attempted: 0, Successful: 0
[17:32:12.519599083] Interval 150 -> Attempted: 0, Successful: 0
[17:32:13.019579556] Interval 15 -> Attempted: 27, Successful: 0
[17:32:13.019598166] Interval 30 -> Attempted: 4, Successful: 0
[17:32:13.019602639] Interval 60 -> Attempted: 0, Successful: 0
[17:32:13.019605574] Interval 150 -> Attempted: 0, Successful: 0
[17:32:13.519358739] Interval 15 -> Attempted: 27, Successful: 0
[17:32:13.519379168] Interval 30 -> Attempted: 4, Successful: 0
[17:32:13.519383874] Interval 60 -> Attempted: 0, Successful: 0
[17:32:13.519386837] Interval 150 -> Attempted: 0, Successful: 0
[17:32:14.019408798] Interval 15 -> Attempted: 27, Successful: 0
[17:32:14.019427062] Interval 30 -> Attempted: 4, Successful: 0
[17:32:14.019431318] Interval 60 -> Attempted: 0, Successful: 0
[17:32:14.019434120] Interval 150 -> Attempted: 0, Successful: 0
[17:32:14.519412707] Interval 15 -> Attempted: 27, Successful: 0
[17:32:14.519432375] Interval 30 -> Attempted: 4, Successful: 0
[17:32:14.519436964] Interval 60 -> Attempted: 0, Successful: 0
[17:32:14.519440038] Interval 150 -> Attempted: 0, Successful: 0
[17:32:15.019915474] Interval 15 -> Attempted: 27, Successful: 0
[17:32:15.019933643] Interval 30 -> Attempted: 4, Successful: 0
[17:32:15.019937619] Interval 60 -> Attempted: 0, Successful: 0
[17:32:15.019940437] Interval 150 -> Attempted: 0, Successful: 0
[17:32:15.519534487] Interval 15 -> Attempted: 27, Successful: 0
[17:32:15.519553587] Interval 30 -> Attempted: 4, Successful: 0
[17:32:15.519558142] Interval 60 -> Attempted: 0, Successful: 0
[17:32:15.519561158] Interval 150 -> Attempted: 0, Successful: 0
[17:32:16.023865702] Interval 15 -> Attempted: 27, Successful: 8
[17:32:16.023888390] Interval 30 -> Attempted: 4, Successful: 0
[17:32:16.023893245] Interval 60 -> Attempted: 0, Successful: 0
[17:32:16.023896228] Interval 150 -> Attempted: 0, Successful: 0
[17:32:16.524185443] Interval 15 -> Attempted: 27, Successful: 11
[17:32:16.524211139] Interval 30 -> Attempted: 4, Successful: 0
[17:32:16.524218101] Interval 60 -> Attempted: 0, Successful: 0
[17:32:16.524222591] Interval 150 -> Attempted: 0, Successful: 0
[17:32:17.024474896] Interval 15 -> Attempted: 27, Successful: 13
[17:32:17.024496201] Interval 30 -> Attempted: 4, Successful: 0
[17:32:17.024501204] Interval 60 -> Attempted: 0, Successful: 0
[17:32:17.024504451] Interval 150 -> Attempted: 0, Successful: 0
[17:32:17.521243753] Interval 15 -> Attempted: 27, Successful: 2
[17:32:17.521262616] Interval 30 -> Attempted: 4, Successful: 0
[17:32:17.521267253] Interval 60 -> Attempted: 0, Successful: 0
[17:32:17.521270066] Interval 150 -> Attempted: 0, Successful: 0
[17:32:18.023722829] Interval 15 -> Attempted: 27, Successful: 19
[17:32:18.023742863] Interval 30 -> Attempted: 4, Successful: 0
[17:32:18.023748154] Interval 60 -> Attempted: 0, Successful: 0
[17:32:18.023751415] Interval 150 -> Attempted: 0, Successful: 0
[17:32:18.519438654] Interval 15 -> Attempted: 27, Successful: 0
[17:32:18.519479636] Interval 30 -> Attempted: 4, Successful: 0
[17:32:18.519484929] Interval 60 -> Attempted: 0, Successful: 0
[17:32:18.519488098] Interval 150 -> Attempted: 0, Successful: 0
[17:32:19.021528460] Interval 15 -> Attempted: 27, Successful: 0
[17:32:19.021562832] Interval 30 -> Attempted: 4, Successful: 0
[17:32:19.021571241] Interval 60 -> Attempted: 0, Successful: 0
[17:32:19.021578418] Interval 150 -> Attempted: 0, Successful: 0
[17:32:19.519622248] Interval 15 -> Attempted: 27, Successful: 0
[17:32:19.519671033] Interval 30 -> Attempted: 4, Successful: 0
[17:32:19.519676455] Interval 60 -> Attempted: 0, Successful: 0
[17:32:19.519679323] Interval 150 -> Attempted: 0, Successful: 0
[17:32:20.020737389] Interval 15 -> Attempted: 27, Successful: 0
[17:32:20.023422829] Interval 30 -> Attempted: 4, Successful: 3
[17:32:20.023439924] Interval 60 -> Attempted: 0, Successful: 0
[17:32:20.023444331] Interval 150 -> Attempted: 0, Successful: 0
[17:32:20.525826350] Interval 15 -> Attempted: 37, Successful: 13
[17:32:20.527114767] Interval 30 -> Attempted: 4, Successful: 2
[17:32:20.527130856] Interval 60 -> Attempted: 0, Successful: 0
[17:32:20.527134338] Interval 150 -> Attempted: 0, Successful: 0
[17:32:21.019508622] Interval 15 -> Attempted: 27, Successful: 0
[17:32:21.019555980] Interval 30 -> Attempted: 4, Successful: 0
[17:32:21.019560351] Interval 60 -> Attempted: 0, Successful: 0
[17:32:21.019562716] Interval 150 -> Attempted: 0, Successful: 0
[17:32:21.520506323] Interval 15 -> Attempted: 27, Successful: 1
[17:32:21.522237187] Interval 30 -> Attempted: 4, Successful: 2
[17:32:21.522255382] Interval 60 -> Attempted: 0, Successful: 0
[17:32:21.522262392] Interval 150 -> Attempted: 0, Successful: 0
[17:32:22.028103913] Interval 15 -> Attempted: 27, Successful: 21
[17:32:22.031387819] Interval 30 -> Attempted: 4, Successful: 4
[17:32:22.031420581] Interval 60 -> Attempted: 0, Successful: 0
[17:32:22.031426123] Interval 150 -> Attempted: 0, Successful: 0
[17:32:22.524258260] Interval 15 -> Attempted: 27, Successful: 16
[17:32:22.526559352] Interval 30 -> Attempted: 4, Successful: 1
[17:32:22.526569726] Interval 60 -> Attempted: 0, Successful: 0
[17:32:22.526571788] Interval 150 -> Attempted: 0, Successful: 0
[17:32:23.019597264] Interval 15 -> Attempted: 27, Successful: 0
[17:32:23.020160838] Interval 30 -> Attempted: 4, Successful: 3
[17:32:23.020169198] Interval 60 -> Attempted: 0, Successful: 0
[17:32:23.020171464] Interval 150 -> Attempted: 0, Successful: 0
[17:32:23.519368256] Interval 15 -> Attempted: 27, Successful: 0
[17:32:23.520023873] Interval 30 -> Attempted: 4, Successful: 4
[17:32:23.520031756] Interval 60 -> Attempted: 0, Successful: 0
[17:32:23.520033843] Interval 150 -> Attempted: 0, Successful: 0
[17:32:24.019636594] Interval 15 -> Attempted: 27, Successful: 0
[17:32:24.020144905] Interval 30 -> Attempted: 4, Successful: 2
[17:32:24.020153999] Interval 60 -> Attempted: 0, Successful: 0
[17:32:24.020157757] Interval 150 -> Attempted: 0, Successful: 0
[17:32:24.519571787] Interval 15 -> Attempted: 27, Successful: 0
[17:32:24.519849109] Interval 30 -> Attempted: 4, Successful: 1
[17:32:24.519856769] Interval 60 -> Attempted: 0, Successful: 0
[17:32:24.519858578] Interval 150 -> Attempted: 0, Successful: 0
[17:32:25.021175484] Interval 15 -> Attempted: 27, Successful: 0
[17:32:25.021197876] Interval 30 -> Attempted: 4, Successful: 0
[17:32:25.021202510] Interval 60 -> Attempted: 0, Successful: 0
[17:32:25.021206043] Interval 150 -> Attempted: 0, Successful: 0
[17:32:25.521626975] Interval 15 -> Attempted: 27, Successful: 0
[17:32:25.521640991] Interval 30 -> Attempted: 4, Successful: 0
[17:32:25.521643711] Interval 60 -> Attempted: 0, Successful: 0
[17:32:25.521645216] Interval 150 -> Attempted: 0, Successful: 0
[17:32:26.019641463] Interval 15 -> Attempted: 27, Successful: 0
[17:32:26.019652962] Interval 30 -> Attempted: 4, Successful: 0
[17:32:26.019655155] Interval 60 -> Attempted: 0, Successful: 0
[17:32:26.019656449] Interval 150 -> Attempted: 0, Successful: 0
[17:32:26.522854181] Interval 15 -> Attempted: 27, Successful: 11
[17:32:26.522872397] Interval 30 -> Attempted: 4, Successful: 0
[17:32:26.522875345] Interval 60 -> Attempted: 0, Successful: 0
[17:32:26.522876773] Interval 150 -> Attempted: 0, Successful: 0
[17:32:27.020904320] Interval 15 -> Attempted: 27, Successful: 2
[17:32:27.020929920] Interval 30 -> Attempted: 4, Successful: 0
